digraph dag {
	0	 [kernel=potrf];
	24	 [kernel=trsm];
	13 -> 24	 [x=1,
		y=4];
	30	 [kernel=gemm];
	14 -> 30	 [x=2,
		y=4];
	31	 [kernel=gemm];
	15 -> 31	 [x=3,
		y=4];
	32	 [kernel=syrk];
	16 -> 32	 [x=5,
		y=5];
	25	 [kernel=trsm];
	17 -> 25	 [x=1,
		y=5];
	33	 [kernel=gemm];
	18 -> 33	 [x=2,
		y=5];
	34	 [kernel=gemm];
	19 -> 34	 [x=3,
		y=5];
	35	 [kernel=gemm];
	20 -> 35	 [x=4,
		y=5];
	21 -> 22	 [x=1,
		y=1];
	21 -> 23	 [x=1,
		y=1];
	21 -> 24	 [x=1,
		y=1];
	21 -> 25	 [x=1,
		y=1];
	22 -> 26	 [x=1,
		y=2];
	22 -> 28	 [x=1,
		y=2];
	22 -> 30	 [x=1,
		y=2];
	22 -> 33	 [x=1,
		y=2];
	23 -> 27	 [x=1,
		y=3];
	23 -> 28	 [x=1,
		y=3];
	23 -> 31	 [x=1,
		y=3];
	23 -> 34	 [x=1,
		y=3];
	24 -> 29	 [x=1,
		y=4];
	24 -> 30	 [x=1,
		y=4];
	24 -> 31	 [x=1,
		y=4];
	24 -> 35	 [x=1,
		y=4];
	25 -> 32	 [x=1,
		y=5];
	25 -> 33	 [x=1,
		y=5];
	25 -> 34	 [x=1,
		y=5];
	25 -> 35	 [x=1,
		y=5];
	36	 [kernel=potrf];
	26 -> 36	 [x=2,
		y=2];
	40	 [kernel=syrk];
	27 -> 40	 [x=3,
		y=3];
	37	 [kernel=trsm];
	28 -> 37	 [x=2,
		y=3];
	41	 [kernel=syrk];
	29 -> 41	 [x=4,
		y=4];
	38	 [kernel=trsm];
	30 -> 38	 [x=2,
		y=4];
	42	 [kernel=gemm];
	31 -> 42	 [x=3,
		y=4];
	43	 [kernel=syrk];
	32 -> 43	 [x=5,
		y=5];
	39	 [kernel=trsm];
	33 -> 39	 [x=2,
		y=5];
	44	 [kernel=gemm];
	34 -> 44	 [x=3,
		y=5];
	45	 [kernel=gemm];
	35 -> 45	 [x=4,
		y=5];
	36 -> 37	 [x=2,
		y=2];
	36 -> 38	 [x=2,
		y=2];
	36 -> 39	 [x=2,
		y=2];
	37 -> 40	 [x=2,
		y=3];
	37 -> 42	 [x=2,
		y=3];
	37 -> 44	 [x=2,
		y=3];
	38 -> 41	 [x=2,
		y=4];
	38 -> 42	 [x=2,
		y=4];
	38 -> 45	 [x=2,
		y=4];
	39 -> 43	 [x=2,
		y=5];
	39 -> 44	 [x=2,
		y=5];
	39 -> 45	 [x=2,
		y=5];
	46	 [kernel=potrf];
	40 -> 46	 [x=3,
		y=3];
	49	 [kernel=syrk];
	41 -> 49	 [x=4,
		y=4];
	47	 [kernel=trsm];
	42 -> 47	 [x=3,
		y=4];
	50	 [kernel=syrk];
	43 -> 50	 [x=5,
		y=5];
	48	 [kernel=trsm];
	44 -> 48	 [x=3,
		y=5];
	51	 [kernel=gemm];
	45 -> 51	 [x=4,
		y=5];
	46 -> 47	 [x=3,
		y=3];
	46 -> 48	 [x=3,
		y=3];
	47 -> 49	 [x=3,
		y=4];
	47 -> 51	 [x=3,
		y=4];
	48 -> 50	 [x=3,
		y=5];
	48 -> 51	 [x=3,
		y=5];
	52	 [kernel=potrf];
	49 -> 52	 [x=4,
		y=4];
	54	 [kernel=syrk];
	50 -> 54	 [x=5,
		y=5];
	53	 [kernel=trsm];
	51 -> 53	 [x=4,
		y=5];
	52 -> 53	 [x=4,
		y=4];
	53 -> 54	 [x=4,
		y=5];
	55	 [kernel=potrf];
	54 -> 55	 [x=5,
		y=5];
}
