digraph dag {
	0	 [kernel=lu];
	6 -> 123	 [x=0,
		y=6];
	136	 [kernel=bmod];
	6 -> 136	 [x=0,
		y=6];
	149	 [kernel=bmod];
	6 -> 149	 [x=0,
		y=6];
	162	 [kernel=bmod];
	6 -> 162	 [x=0,
		y=6];
	175	 [kernel=bmod];
	6 -> 175	 [x=0,
		y=6];
	188	 [kernel=bmod];
	6 -> 188	 [x=0,
		y=6];
	33	 [kernel=bmod];
	7 -> 33	 [x=0,
		y=7];
	46	 [kernel=bmod];
	7 -> 46	 [x=0,
		y=7];
	59	 [kernel=bmod];
	7 -> 59	 [x=0,
		y=7];
	72	 [kernel=bmod];
	7 -> 72	 [x=0,
		y=7];
	85	 [kernel=bmod];
	7 -> 85	 [x=0,
		y=7];
	98	 [kernel=bmod];
	7 -> 98	 [x=0,
		y=7];
	111	 [kernel=bmod];
	7 -> 111	 [x=0,
		y=7];
	124	 [kernel=bmod];
	7 -> 124	 [x=0,
		y=7];
	137	 [kernel=bmod];
	7 -> 137	 [x=0,
		y=7];
	150	 [kernel=bmod];
	7 -> 150	 [x=0,
		y=7];
	163	 [kernel=bmod];
	7 -> 163	 [x=0,
		y=7];
	176	 [kernel=bmod];
	7 -> 176	 [x=0,
		y=7];
	189	 [kernel=bmod];
	7 -> 189	 [x=0,
		y=7];
	34	 [kernel=bmod];
	8 -> 34	 [x=0,
		y=8];
	47	 [kernel=bmod];
	8 -> 47	 [x=0,
		y=8];
	60	 [kernel=bmod];
	8 -> 60	 [x=0,
		y=8];
	73	 [kernel=bmod];
	8 -> 73	 [x=0,
		y=8];
	86	 [kernel=bmod];
	8 -> 86	 [x=0,
		y=8];
	99	 [kernel=bmod];
	8 -> 99	 [x=0,
		y=8];
	112	 [kernel=bmod];
	8 -> 112	 [x=0,
		y=8];
	125	 [kernel=bmod];
	8 -> 125	 [x=0,
		y=8];
	138	 [kernel=bmod];
	8 -> 138	 [x=0,
		y=8];
	151	 [kernel=bmod];
	8 -> 151	 [x=0,
		y=8];
	164	 [kernel=bmod];
	8 -> 164	 [x=0,
		y=8];
	177	 [kernel=bmod];
	8 -> 177	 [x=0,
		y=8];
	190	 [kernel=bmod];
	8 -> 190	 [x=0,
		y=8];
	35	 [kernel=bmod];
	9 -> 35	 [x=0,
		y=9];
	48	 [kernel=bmod];
	9 -> 48	 [x=0,
		y=9];
	61	 [kernel=bmod];
	9 -> 61	 [x=0,
		y=9];
	74	 [kernel=bmod];
	9 -> 74	 [x=0,
		y=9];
	87	 [kernel=bmod];
	9 -> 87	 [x=0,
		y=9];
	100	 [kernel=bmod];
	9 -> 100	 [x=0,
		y=9];
	113	 [kernel=bmod];
	9 -> 113	 [x=0,
		y=9];
	126	 [kernel=bmod];
	9 -> 126	 [x=0,
		y=9];
	139	 [kernel=bmod];
	9 -> 139	 [x=0,
		y=9];
	152	 [kernel=bmod];
	9 -> 152	 [x=0,
		y=9];
	165	 [kernel=bmod];
	9 -> 165	 [x=0,
		y=9];
	178	 [kernel=bmod];
	9 -> 178	 [x=0,
		y=9];
	191	 [kernel=bmod];
	9 -> 191	 [x=0,
		y=9];
	36	 [kernel=bmod];
	10 -> 36	 [x=0,
		y=10];
	49	 [kernel=bmod];
	10 -> 49	 [x=0,
		y=10];
	62	 [kernel=bmod];
	10 -> 62	 [x=0,
		y=10];
	75	 [kernel=bmod];
	10 -> 75	 [x=0,
		y=10];
	88	 [kernel=bmod];
	10 -> 88	 [x=0,
		y=10];
	101	 [kernel=bmod];
	10 -> 101	 [x=0,
		y=10];
	114	 [kernel=bmod];
	10 -> 114	 [x=0,
		y=10];
	127	 [kernel=bmod];
	10 -> 127	 [x=0,
		y=10];
	140	 [kernel=bmod];
	10 -> 140	 [x=0,
		y=10];
	153	 [kernel=bmod];
	10 -> 153	 [x=0,
		y=10];
	166	 [kernel=bmod];
	10 -> 166	 [x=0,
		y=10];
	179	 [kernel=bmod];
	10 -> 179	 [x=0,
		y=10];
	192	 [kernel=bmod];
	10 -> 192	 [x=0,
		y=10];
	37	 [kernel=bmod];
	11 -> 37	 [x=0,
		y=11];
	50	 [kernel=bmod];
	11 -> 50	 [x=0,
		y=11];
	63	 [kernel=bmod];
	11 -> 63	 [x=0,
		y=11];
	76	 [kernel=bmod];
	11 -> 76	 [x=0,
		y=11];
	89	 [kernel=bmod];
	11 -> 89	 [x=0,
		y=11];
	102	 [kernel=bmod];
	11 -> 102	 [x=0,
		y=11];
	115	 [kernel=bmod];
	11 -> 115	 [x=0,
		y=11];
	128	 [kernel=bmod];
	11 -> 128	 [x=0,
		y=11];
	141	 [kernel=bmod];
	11 -> 141	 [x=0,
		y=11];
	154	 [kernel=bmod];
	11 -> 154	 [x=0,
		y=11];
	167	 [kernel=bmod];
	11 -> 167	 [x=0,
		y=11];
	180	 [kernel=bmod];
	11 -> 180	 [x=0,
		y=11];
	193	 [kernel=bmod];
	11 -> 193	 [x=0,
		y=11];
	38	 [kernel=bmod];
	12 -> 38	 [x=0,
		y=12];
	51	 [kernel=bmod];
	12 -> 51	 [x=0,
		y=12];
	64	 [kernel=bmod];
	12 -> 64	 [x=0,
		y=12];
	77	 [kernel=bmod];
	12 -> 77	 [x=0,
		y=12];
	90	 [kernel=bmod];
	12 -> 90	 [x=0,
		y=12];
	103	 [kernel=bmod];
	12 -> 103	 [x=0,
		y=12];
	116	 [kernel=bmod];
	12 -> 116	 [x=0,
		y=12];
	129	 [kernel=bmod];
	12 -> 129	 [x=0,
		y=12];
	142	 [kernel=bmod];
	12 -> 142	 [x=0,
		y=12];
	155	 [kernel=bmod];
	12 -> 155	 [x=0,
		y=12];
	168	 [kernel=bmod];
	12 -> 168	 [x=0,
		y=12];
	181	 [kernel=bmod];
	12 -> 181	 [x=0,
		y=12];
	194	 [kernel=bmod];
	12 -> 194	 [x=0,
		y=12];
	39	 [kernel=bmod];
	13 -> 39	 [x=0,
		y=13];
	52	 [kernel=bmod];
	13 -> 52	 [x=0,
		y=13];
	65	 [kernel=bmod];
	13 -> 65	 [x=0,
		y=13];
	78	 [kernel=bmod];
	13 -> 78	 [x=0,
		y=13];
	91	 [kernel=bmod];
	13 -> 91	 [x=0,
		y=13];
	104	 [kernel=bmod];
	13 -> 104	 [x=0,
		y=13];
	117	 [kernel=bmod];
	13 -> 117	 [x=0,
		y=13];
	130	 [kernel=bmod];
	13 -> 130	 [x=0,
		y=13];
	143	 [kernel=bmod];
	13 -> 143	 [x=0,
		y=13];
	156	 [kernel=bmod];
	13 -> 156	 [x=0,
		y=13];
	169	 [kernel=bmod];
	13 -> 169	 [x=0,
		y=13];
	182	 [kernel=bmod];
	13 -> 182	 [x=0,
		y=13];
	195	 [kernel=bmod];
	13 -> 195	 [x=0,
		y=13];
	14 -> 27	 [x=1,
		y=0];
	14 -> 28	 [x=1,
		y=0];
	14 -> 29	 [x=1,
		y=0];
	14 -> 30	 [x=1,
		y=0];
	14 -> 31	 [x=1,
		y=0];
	14 -> 32	 [x=1,
		y=0];
	14 -> 33	 [x=1,
		y=0];
	14 -> 34	 [x=1,
		y=0];
	14 -> 35	 [x=1,
		y=0];
	14 -> 36	 [x=1,
		y=0];
	14 -> 37	 [x=1,
		y=0];
	14 -> 38	 [x=1,
		y=0];
	14 -> 39	 [x=1,
		y=0];
	15 -> 40	 [x=2,
		y=0];
	15 -> 41	 [x=2,
		y=0];
	15 -> 42	 [x=2,
		y=0];
	15 -> 43	 [x=2,
		y=0];
	15 -> 44	 [x=2,
		y=0];
	15 -> 45	 [x=2,
		y=0];
	15 -> 46	 [x=2,
		y=0];
	15 -> 47	 [x=2,
		y=0];
	15 -> 48	 [x=2,
		y=0];
	15 -> 49	 [x=2,
		y=0];
	15 -> 50	 [x=2,
		y=0];
	15 -> 51	 [x=2,
		y=0];
	15 -> 52	 [x=2,
		y=0];
	16 -> 53	 [x=3,
		y=0];
	16 -> 54	 [x=3,
		y=0];
	16 -> 55	 [x=3,
		y=0];
	16 -> 56	 [x=3,
		y=0];
	16 -> 57	 [x=3,
		y=0];
	16 -> 58	 [x=3,
		y=0];
	16 -> 59	 [x=3,
		y=0];
	16 -> 60	 [x=3,
		y=0];
	16 -> 61	 [x=3,
		y=0];
	16 -> 62	 [x=3,
		y=0];
	16 -> 63	 [x=3,
		y=0];
	16 -> 64	 [x=3,
		y=0];
	16 -> 65	 [x=3,
		y=0];
	17 -> 66	 [x=4,
		y=0];
	17 -> 67	 [x=4,
		y=0];
	17 -> 68	 [x=4,
		y=0];
	17 -> 69	 [x=4,
		y=0];
	17 -> 70	 [x=4,
		y=0];
	17 -> 71	 [x=4,
		y=0];
	17 -> 72	 [x=4,
		y=0];
	17 -> 73	 [x=4,
		y=0];
	17 -> 74	 [x=4,
		y=0];
	17 -> 75	 [x=4,
		y=0];
	17 -> 76	 [x=4,
		y=0];
	17 -> 77	 [x=4,
		y=0];
	17 -> 78	 [x=4,
		y=0];
	18 -> 79	 [x=5,
		y=0];
	18 -> 80	 [x=5,
		y=0];
	18 -> 81	 [x=5,
		y=0];
	18 -> 82	 [x=5,
		y=0];
	18 -> 83	 [x=5,
		y=0];
	18 -> 84	 [x=5,
		y=0];
	18 -> 85	 [x=5,
		y=0];
	18 -> 86	 [x=5,
		y=0];
	18 -> 87	 [x=5,
		y=0];
	18 -> 88	 [x=5,
		y=0];
	18 -> 89	 [x=5,
		y=0];
	18 -> 90	 [x=5,
		y=0];
	18 -> 91	 [x=5,
		y=0];
	19 -> 92	 [x=6,
		y=0];
	19 -> 93	 [x=6,
		y=0];
	19 -> 94	 [x=6,
		y=0];
	19 -> 95	 [x=6,
		y=0];
	19 -> 96	 [x=6,
		y=0];
	19 -> 97	 [x=6,
		y=0];
	19 -> 98	 [x=6,
		y=0];
	19 -> 99	 [x=6,
		y=0];
	19 -> 100	 [x=6,
		y=0];
	19 -> 101	 [x=6,
		y=0];
	19 -> 102	 [x=6,
		y=0];
	19 -> 103	 [x=6,
		y=0];
	19 -> 104	 [x=6,
		y=0];
	20 -> 105	 [x=7,
		y=0];
	20 -> 106	 [x=7,
		y=0];
	20 -> 107	 [x=7,
		y=0];
	20 -> 108	 [x=7,
		y=0];
	20 -> 109	 [x=7,
		y=0];
	20 -> 110	 [x=7,
		y=0];
	20 -> 111	 [x=7,
		y=0];
	20 -> 112	 [x=7,
		y=0];
	20 -> 113	 [x=7,
		y=0];
	20 -> 114	 [x=7,
		y=0];
	20 -> 115	 [x=7,
		y=0];
	20 -> 116	 [x=7,
		y=0];
	20 -> 117	 [x=7,
		y=0];
	21 -> 118	 [x=8,
		y=0];
	21 -> 119	 [x=8,
		y=0];
	21 -> 120	 [x=8,
		y=0];
	21 -> 121	 [x=8,
		y=0];
	21 -> 122	 [x=8,
		y=0];
	21 -> 123	 [x=8,
		y=0];
	21 -> 124	 [x=8,
		y=0];
	21 -> 125	 [x=8,
		y=0];
	21 -> 126	 [x=8,
		y=0];
	21 -> 127	 [x=8,
		y=0];
	21 -> 128	 [x=8,
		y=0];
	21 -> 129	 [x=8,
		y=0];
	21 -> 130	 [x=8,
		y=0];
	22 -> 131	 [x=9,
		y=0];
	22 -> 132	 [x=9,
		y=0];
	22 -> 133	 [x=9,
		y=0];
	22 -> 134	 [x=9,
		y=0];
	22 -> 135	 [x=9,
		y=0];
	22 -> 136	 [x=9,
		y=0];
	22 -> 137	 [x=9,
		y=0];
	22 -> 138	 [x=9,
		y=0];
	22 -> 139	 [x=9,
		y=0];
	22 -> 140	 [x=9,
		y=0];
	22 -> 141	 [x=9,
		y=0];
	22 -> 142	 [x=9,
		y=0];
	22 -> 143	 [x=9,
		y=0];
	23 -> 144	 [x=10,
		y=0];
	23 -> 145	 [x=10,
		y=0];
	23 -> 146	 [x=10,
		y=0];
	23 -> 147	 [x=10,
		y=0];
	23 -> 148	 [x=10,
		y=0];
	23 -> 149	 [x=10,
		y=0];
	23 -> 150	 [x=10,
		y=0];
	23 -> 151	 [x=10,
		y=0];
	23 -> 152	 [x=10,
		y=0];
	23 -> 153	 [x=10,
		y=0];
	23 -> 154	 [x=10,
		y=0];
	23 -> 155	 [x=10,
		y=0];
	23 -> 156	 [x=10,
		y=0];
	24 -> 157	 [x=11,
		y=0];
	24 -> 158	 [x=11,
		y=0];
	24 -> 159	 [x=11,
		y=0];
	24 -> 160	 [x=11,
		y=0];
	24 -> 161	 [x=11,
		y=0];
	24 -> 162	 [x=11,
		y=0];
	24 -> 163	 [x=11,
		y=0];
	24 -> 164	 [x=11,
		y=0];
	24 -> 165	 [x=11,
		y=0];
	24 -> 166	 [x=11,
		y=0];
	24 -> 167	 [x=11,
		y=0];
	24 -> 168	 [x=11,
		y=0];
	24 -> 169	 [x=11,
		y=0];
	25 -> 170	 [x=12,
		y=0];
	25 -> 171	 [x=12,
		y=0];
	25 -> 172	 [x=12,
		y=0];
	25 -> 173	 [x=12,
		y=0];
	25 -> 174	 [x=12,
		y=0];
	25 -> 175	 [x=12,
		y=0];
	25 -> 176	 [x=12,
		y=0];
	25 -> 177	 [x=12,
		y=0];
	25 -> 178	 [x=12,
		y=0];
	25 -> 179	 [x=12,
		y=0];
	25 -> 180	 [x=12,
		y=0];
	25 -> 181	 [x=12,
		y=0];
	25 -> 182	 [x=12,
		y=0];
	26 -> 183	 [x=13,
		y=0];
	26 -> 184	 [x=13,
		y=0];
	26 -> 185	 [x=13,
		y=0];
	26 -> 186	 [x=13,
		y=0];
	26 -> 187	 [x=13,
		y=0];
	26 -> 188	 [x=13,
		y=0];
	26 -> 189	 [x=13,
		y=0];
	26 -> 190	 [x=13,
		y=0];
	26 -> 191	 [x=13,
		y=0];
	26 -> 192	 [x=13,
		y=0];
	26 -> 193	 [x=13,
		y=0];
	26 -> 194	 [x=13,
		y=0];
	26 -> 195	 [x=13,
		y=0];
	196	 [kernel=lu];
	27 -> 196	 [x=1,
		y=1];
	197	 [kernel=fwd];
	28 -> 197	 [x=1,
		y=2];
	198	 [kernel=fwd];
	29 -> 198	 [x=1,
		y=3];
	199	 [kernel=fwd];
	30 -> 199	 [x=1,
		y=4];
	200	 [kernel=fwd];
	31 -> 200	 [x=1,
		y=5];
	201	 [kernel=fwd];
	32 -> 201	 [x=1,
		y=6];
	202	 [kernel=fwd];
	33 -> 202	 [x=1,
		y=7];
	203	 [kernel=fwd];
	34 -> 203	 [x=1,
		y=8];
	204	 [kernel=fwd];
	35 -> 204	 [x=1,
		y=9];
	205	 [kernel=fwd];
	36 -> 205	 [x=1,
		y=10];
	206	 [kernel=fwd];
	37 -> 206	 [x=1,
		y=11];
	207	 [kernel=fwd];
	38 -> 207	 [x=1,
		y=12];
	208	 [kernel=fwd];
	39 -> 208	 [x=1,
		y=13];
	209	 [kernel=bdiv];
	40 -> 209	 [x=2,
		y=1];
	221	 [kernel=bmod];
	41 -> 221	 [x=2,
		y=2];
	222	 [kernel=bmod];
	42 -> 222	 [x=2,
		y=3];
	223	 [kernel=bmod];
	43 -> 223	 [x=2,
		y=4];
	224	 [kernel=bmod];
	44 -> 224	 [x=2,
		y=5];
	225	 [kernel=bmod];
	45 -> 225	 [x=2,
		y=6];
	226	 [kernel=bmod];
	46 -> 226	 [x=2,
		y=7];
	227	 [kernel=bmod];
	47 -> 227	 [x=2,
		y=8];
	228	 [kernel=bmod];
	48 -> 228	 [x=2,
		y=9];
	229	 [kernel=bmod];
	49 -> 229	 [x=2,
		y=10];
	230	 [kernel=bmod];
	50 -> 230	 [x=2,
		y=11];
	231	 [kernel=bmod];
	51 -> 231	 [x=2,
		y=12];
	232	 [kernel=bmod];
	52 -> 232	 [x=2,
		y=13];
	210	 [kernel=bdiv];
	53 -> 210	 [x=3,
		y=1];
	233	 [kernel=bmod];
	54 -> 233	 [x=3,
		y=2];
	234	 [kernel=bmod];
	55 -> 234	 [x=3,
		y=3];
	235	 [kernel=bmod];
	56 -> 235	 [x=3,
		y=4];
	236	 [kernel=bmod];
	57 -> 236	 [x=3,
		y=5];
	237	 [kernel=bmod];
	58 -> 237	 [x=3,
		y=6];
	238	 [kernel=bmod];
	59 -> 238	 [x=3,
		y=7];
	239	 [kernel=bmod];
	60 -> 239	 [x=3,
		y=8];
	240	 [kernel=bmod];
	61 -> 240	 [x=3,
		y=9];
	241	 [kernel=bmod];
	62 -> 241	 [x=3,
		y=10];
	242	 [kernel=bmod];
	63 -> 242	 [x=3,
		y=11];
	243	 [kernel=bmod];
	64 -> 243	 [x=3,
		y=12];
	244	 [kernel=bmod];
	65 -> 244	 [x=3,
		y=13];
	211	 [kernel=bdiv];
	66 -> 211	 [x=4,
		y=1];
	245	 [kernel=bmod];
	67 -> 245	 [x=4,
		y=2];
	246	 [kernel=bmod];
	68 -> 246	 [x=4,
		y=3];
	247	 [kernel=bmod];
	69 -> 247	 [x=4,
		y=4];
	248	 [kernel=bmod];
	70 -> 248	 [x=4,
		y=5];
	249	 [kernel=bmod];
	71 -> 249	 [x=4,
		y=6];
	250	 [kernel=bmod];
	72 -> 250	 [x=4,
		y=7];
	251	 [kernel=bmod];
	73 -> 251	 [x=4,
		y=8];
	252	 [kernel=bmod];
	74 -> 252	 [x=4,
		y=9];
	253	 [kernel=bmod];
	75 -> 253	 [x=4,
		y=10];
	254	 [kernel=bmod];
	76 -> 254	 [x=4,
		y=11];
	255	 [kernel=bmod];
	77 -> 255	 [x=4,
		y=12];
	256	 [kernel=bmod];
	78 -> 256	 [x=4,
		y=13];
	212	 [kernel=bdiv];
	79 -> 212	 [x=5,
		y=1];
	257	 [kernel=bmod];
	80 -> 257	 [x=5,
		y=2];
	258	 [kernel=bmod];
	81 -> 258	 [x=5,
		y=3];
	259	 [kernel=bmod];
	82 -> 259	 [x=5,
		y=4];
	260	 [kernel=bmod];
	83 -> 260	 [x=5,
		y=5];
	261	 [kernel=bmod];
	84 -> 261	 [x=5,
		y=6];
	262	 [kernel=bmod];
	85 -> 262	 [x=5,
		y=7];
	263	 [kernel=bmod];
	86 -> 263	 [x=5,
		y=8];
	264	 [kernel=bmod];
	87 -> 264	 [x=5,
		y=9];
	265	 [kernel=bmod];
	88 -> 265	 [x=5,
		y=10];
	266	 [kernel=bmod];
	89 -> 266	 [x=5,
		y=11];
	267	 [kernel=bmod];
	90 -> 267	 [x=5,
		y=12];
	268	 [kernel=bmod];
	91 -> 268	 [x=5,
		y=13];
	213	 [kernel=bdiv];
	92 -> 213	 [x=6,
		y=1];
	269	 [kernel=bmod];
	93 -> 269	 [x=6,
		y=2];
	270	 [kernel=bmod];
	94 -> 270	 [x=6,
		y=3];
	271	 [kernel=bmod];
	95 -> 271	 [x=6,
		y=4];
	272	 [kernel=bmod];
	96 -> 272	 [x=6,
		y=5];
	273	 [kernel=bmod];
	97 -> 273	 [x=6,
		y=6];
	274	 [kernel=bmod];
	98 -> 274	 [x=6,
		y=7];
	275	 [kernel=bmod];
	99 -> 275	 [x=6,
		y=8];
	276	 [kernel=bmod];
	100 -> 276	 [x=6,
		y=9];
	277	 [kernel=bmod];
	101 -> 277	 [x=6,
		y=10];
	278	 [kernel=bmod];
	102 -> 278	 [x=6,
		y=11];
	279	 [kernel=bmod];
	103 -> 279	 [x=6,
		y=12];
	280	 [kernel=bmod];
	104 -> 280	 [x=6,
		y=13];
	214	 [kernel=bdiv];
	105 -> 214	 [x=7,
		y=1];
	281	 [kernel=bmod];
	106 -> 281	 [x=7,
		y=2];
	282	 [kernel=bmod];
	107 -> 282	 [x=7,
		y=3];
	283	 [kernel=bmod];
	108 -> 283	 [x=7,
		y=4];
	284	 [kernel=bmod];
	109 -> 284	 [x=7,
		y=5];
	285	 [kernel=bmod];
	110 -> 285	 [x=7,
		y=6];
	286	 [kernel=bmod];
	111 -> 286	 [x=7,
		y=7];
	287	 [kernel=bmod];
	112 -> 287	 [x=7,
		y=8];
	288	 [kernel=bmod];
	113 -> 288	 [x=7,
		y=9];
	289	 [kernel=bmod];
	114 -> 289	 [x=7,
		y=10];
	290	 [kernel=bmod];
	115 -> 290	 [x=7,
		y=11];
	291	 [kernel=bmod];
	116 -> 291	 [x=7,
		y=12];
	292	 [kernel=bmod];
	117 -> 292	 [x=7,
		y=13];
	215	 [kernel=bdiv];
	118 -> 215	 [x=8,
		y=1];
	293	 [kernel=bmod];
	119 -> 293	 [x=8,
		y=2];
	294	 [kernel=bmod];
	120 -> 294	 [x=8,
		y=3];
	295	 [kernel=bmod];
	121 -> 295	 [x=8,
		y=4];
	296	 [kernel=bmod];
	122 -> 296	 [x=8,
		y=5];
	297	 [kernel=bmod];
	123 -> 297	 [x=8,
		y=6];
	298	 [kernel=bmod];
	124 -> 298	 [x=8,
		y=7];
	299	 [kernel=bmod];
	125 -> 299	 [x=8,
		y=8];
	300	 [kernel=bmod];
	126 -> 300	 [x=8,
		y=9];
	301	 [kernel=bmod];
	127 -> 301	 [x=8,
		y=10];
	302	 [kernel=bmod];
	128 -> 302	 [x=8,
