digraph dag {
	0	 [kernel=potrf];
	5 -> 18	 [x=0,
		y=5];
	5 -> 19	 [x=0,
		y=5];
	5 -> 20	 [x=0,
		y=5];
	5 -> 21	 [x=0,
		y=5];
	5 -> 22	 [x=0,
		y=5];
	28	 [kernel=gemm];
	5 -> 28	 [x=0,
		y=5];
	34	 [kernel=gemm];
	5 -> 34	 [x=0,
		y=5];
	23	 [kernel=syrk];
	6 -> 23	 [x=0,
		y=6];
	6 -> 24	 [x=0,
		y=6];
	6 -> 25	 [x=0,
		y=6];
	6 -> 26	 [x=0,
		y=6];
	6 -> 27	 [x=0,
		y=6];
	6 -> 28	 [x=0,
		y=6];
	35	 [kernel=gemm];
	6 -> 35	 [x=0,
		y=6];
	29	 [kernel=syrk];
	7 -> 29	 [x=0,
		y=7];
	7 -> 30	 [x=0,
		y=7];
	7 -> 31	 [x=0,
		y=7];
	7 -> 32	 [x=0,
		y=7];
	7 -> 33	 [x=0,
		y=7];
	7 -> 34	 [x=0,
		y=7];
	7 -> 35	 [x=0,
		y=7];
	36	 [kernel=potrf];
	8 -> 36	 [x=1,
		y=1];
	43	 [kernel=syrk];
	9 -> 43	 [x=2,
		y=2];
	37	 [kernel=trsm];
	10 -> 37	 [x=1,
		y=2];
	44	 [kernel=syrk];
	11 -> 44	 [x=3,
		y=3];
	38	 [kernel=trsm];
	12 -> 38	 [x=1,
		y=3];
	45	 [kernel=gemm];
	13 -> 45	 [x=2,
		y=3];
	46	 [kernel=syrk];
	14 -> 46	 [x=4,
		y=4];
	39	 [kernel=trsm];
	15 -> 39	 [x=1,
		y=4];
	47	 [kernel=gemm];
	16 -> 47	 [x=2,
		y=4];
	48	 [kernel=gemm];
	17 -> 48	 [x=3,
		y=4];
	49	 [kernel=syrk];
	18 -> 49	 [x=5,
		y=5];
	40	 [kernel=trsm];
	19 -> 40	 [x=1,
		y=5];
	50	 [kernel=gemm];
	20 -> 50	 [x=2,
		y=5];
	51	 [kernel=gemm];
	21 -> 51	 [x=3,
		y=5];
	52	 [kernel=gemm];
	22 -> 52	 [x=4,
		y=5];
	53	 [kernel=syrk];
	23 -> 53	 [x=6,
		y=6];
	41	 [kernel=trsm];
	24 -> 41	 [x=1,
		y=6];
	54	 [kernel=gemm];
	25 -> 54	 [x=2,
		y=6];
	55	 [kernel=gemm];
	26 -> 55	 [x=3,
		y=6];
	56	 [kernel=gemm];
	27 -> 56	 [x=4,
		y=6];
	57	 [kernel=gemm];
	28 -> 57	 [x=5,
		y=6];
	58	 [kernel=syrk];
	29 -> 58	 [x=7,
		y=7];
	42	 [kernel=trsm];
	30 -> 42	 [x=1,
		y=7];
	59	 [kernel=gemm];
	31 -> 59	 [x=2,
		y=7];
	60	 [kernel=gemm];
	32 -> 60	 [x=3,
		y=7];
	61	 [kernel=gemm];
	33 -> 61	 [x=4,
		y=7];
	62	 [kernel=gemm];
	34 -> 62	 [x=5,
		y=7];
	63	 [kernel=gemm];
	35 -> 63	 [x=6,
		y=7];
	36 -> 37	 [x=1,
		y=1];
	36 -> 38	 [x=1,
		y=1];
	36 -> 39	 [x=1,
		y=1];
	36 -> 40	 [x=1,
		y=1];
	36 -> 41	 [x=1,
		y=1];
	36 -> 42	 [x=1,
		y=1];
	37 -> 43	 [x=1,
		y=2];
	37 -> 45	 [x=1,
		y=2];
	37 -> 47	 [x=1,
		y=2];
	37 -> 50	 [x=1,
		y=2];
	37 -> 54	 [x=1,
		y=2];
	37 -> 59	 [x=1,
		y=2];
	38 -> 44	 [x=1,
		y=3];
	38 -> 45	 [x=1,
		y=3];
	38 -> 48	 [x=1,
		y=3];
	38 -> 51	 [x=1,
		y=3];
	38 -> 55	 [x=1,
		y=3];
	38 -> 60	 [x=1,
		y=3];
	39 -> 46	 [x=1,
		y=4];
	39 -> 47	 [x=1,
		y=4];
	39 -> 48	 [x=1,
		y=4];
	39 -> 52	 [x=1,
		y=4];
	39 -> 56	 [x=1,
		y=4];
	39 -> 61	 [x=1,
		y=4];
	40 -> 49	 [x=1,
		y=5];
	40 -> 50	 [x=1,
		y=5];
	40 -> 51	 [x=1,
		y=5];
	40 -> 52	 [x=1,
		y=5];
	40 -> 57	 [x=1,
		y=5];
	40 -> 62	 [x=1,
		y=5];
	41 -> 53	 [x=1,
		y=6];
	41 -> 54	 [x=1,
		y=6];
	41 -> 55	 [x=1,
		y=6];
	41 -> 56	 [x=1,
		y=6];
	41 -> 57	 [x=1,
		y=6];
	41 -> 63	 [x=1,
		y=6];
	42 -> 58	 [x=1,
		y=7];
	42 -> 59	 [x=1,
		y=7];
	42 -> 60	 [x=1,
		y=7];
	42 -> 61	 [x=1,
		y=7];
	42 -> 62	 [x=1,
		y=7];
	42 -> 63	 [x=1,
		y=7];
	64	 [kernel=potrf];
	43 -> 64	 [x=2,
		y=2];
	70	 [kernel=syrk];
	44 -> 70	 [x=3,
		y=3];
	65	 [kernel=trsm];
	45 -> 65	 [x=2,
		y=3];
	71	 [kernel=syrk];
	46 -> 71	 [x=4,
		y=4];
	66	 [kernel=trsm];
	47 -> 66	 [x=2,
		y=4];
	72	 [kernel=gemm];
	48 -> 72	 [x=3,
		y=4];
	73	 [kernel=syrk];
	49 -> 73	 [x=5,
		y=5];
	67	 [kernel=trsm];
	50 -> 67	 [x=2,
		y=5];
	74	 [kernel=gemm];
	51 -> 74	 [x=3,
		y=5];
	75	 [kernel=gemm];
	52 -> 75	 [x=4,
		y=5];
	76	 [kernel=syrk];
	53 -> 76	 [x=6,
		y=6];
	68	 [kernel=trsm];
	54 -> 68	 [x=2,
		y=6];
	77	 [kernel=gemm];
	55 -> 77	 [x=3,
		y=6];
	78	 [kernel=gemm];
	56 -> 78	 [x=4,
		y=6];
	79	 [kernel=gemm];
	57 -> 79	 [x=5,
		y=6];
	80	 [kernel=syrk];
	58 -> 80	 [x=7,
		y=7];
	69	 [kernel=trsm];
	59 -> 69	 [x=2,
		y=7];
	81	 [kernel=gemm];
	60 -> 81	 [x=3,
		y=7];
	82	 [kernel=gemm];
	61 -> 82	 [x=4,
		y=7];
	83	 [kernel=gemm];
	62 -> 83	 [x=5,
		y=7];
	84	 [kernel=gemm];
	63 -> 84	 [x=6,
		y=7];
	64 -> 65	 [x=2,
		y=2];
	64 -> 66	 [x=2,
		y=2];
	64 -> 67	 [x=2,
		y=2];
	64 -> 68	 [x=2,
		y=2];
	64 -> 69	 [x=2,
		y=2];
	65 -> 70	 [x=2,
		y=3];
	65 -> 72	 [x=2,
		y=3];
	65 -> 74	 [x=2,
		y=3];
	65 -> 77	 [x=2,
		y=3];
	65 -> 81	 [x=2,
		y=3];
	66 -> 71	 [x=2,
		y=4];
	66 -> 72	 [x=2,
		y=4];
	66 -> 75	 [x=2,
		y=4];
	66 -> 78	 [x=2,
		y=4];
	66 -> 82	 [x=2,
		y=4];
	67 -> 73	 [x=2,
		y=5];
	67 -> 74	 [x=2,
		y=5];
	67 -> 75	 [x=2,
		y=5];
	67 -> 79	 [x=2,
		y=5];
	67 -> 83	 [x=2,
		y=5];
	68 -> 76	 [x=2,
		y=6];
	68 -> 77	 [x=2,
		y=6];
	68 -> 78	 [x=2,
		y=6];
	68 -> 79	 [x=2,
		y=6];
	68 -> 84	 [x=2,
		y=6];
	69 -> 80	 [x=2,
		y=7];
	69 -> 81	 [x=2,
		y=7];
	69 -> 82	 [x=2,
		y=7];
	69 -> 83	 [x=2,
		y=7];
	69 -> 84	 [x=2,
		y=7];
	85	 [kernel=potrf];
	70 -> 85	 [x=3,
		y=3];
	90	 [kernel=syrk];
	71 -> 90	 [x=4,
		y=4];
	86	 [kernel=trsm];
	72 -> 86	 [x=3,
		y=4];
	91	 [kernel=syrk];
	73 -> 91	 [x=5,
		y=5];
	87	 [kernel=trsm];
	74 -> 87	 [x=3,
		y=5];
	92	 [kernel=gemm];
	75 -> 92	 [x=4,
		y=5];
	93	 [kernel=syrk];
	76 -> 93	 [x=6,
		y=6];
	88	 [kernel=trsm];
	77 -> 88	 [x=3,
		y=6];
	94	 [kernel=gemm];
	78 -> 94	 [x=4,
		y=6];
	95	 [kernel=gemm];
	79 -> 95	 [x=5,
		y=6];
	96	 [kernel=syrk];
	80 -> 96	 [x=7,
		y=7];
	89	 [kernel=trsm];
	81 -> 89	 [x=3,
		y=7];
	97	 [kernel=gemm];
	82 -> 97	 [x=4,
		y=7];
	98	 [kernel=gemm];
	83 -> 98	 [x=5,
		y=7];
	99	 [kernel=gemm];
	84 -> 99	 [x=6,
		y=7];
	85 -> 86	 [x=3,
		y=3];
	85 -> 87	 [x=3,
		y=3];
	85 -> 88	 [x=3,
		y=3];
	85 -> 89	 [x=3,
		y=3];
	86 -> 90	 [x=3,
		y=4];
	86 -> 92	 [x=3,
		y=4];
	86 -> 94	 [x=3,
		y=4];
	86 -> 97	 [x=3,
		y=4];
	87 -> 91	 [x=3,
		y=5];
	87 -> 92	 [x=3,
		y=5];
	87 -> 95	 [x=3,
		y=5];
	87 -> 98	 [x=3,
		y=5];
	88 -> 93	 [x=3,
		y=6];
	88 -> 94	 [x=3,
		y=6];
	88 -> 95	 [x=3,
		y=6];
	88 -> 99	 [x=3,
		y=6];
	89 -> 96	 [x=3,
		y=7];
	89 -> 97	 [x=3,
		y=7];
	89 -> 98	 [x=3,
		y=7];
	89 -> 99	 [x=3,
		y=7];
	100	 [kernel=potrf];
	90 -> 100	 [x=4,
		y=4];
	104	 [kernel=syrk];
	91 -> 104	 [x=5,
		y=5];
	101	 [kernel=trsm];
	92 -> 101	 [x=4,
		y=5];
	105	 [kernel=syrk];
	93 -> 105	 [x=6,
		y=6];
	102	 [kernel=trsm];
	94 -> 102	 [x=4,
		y=6];
	106	 [kernel=gemm];
	95 -> 106	 [x=5,
		y=6];
	107	 [kernel=syrk];
	96 -> 107	 [x=7,
		y=7];
	103	 [kernel=trsm];
	97 -> 103	 [x=4,
		y=7];
	108	 [kernel=gemm];
	98 -> 108	 [x=5,
		y=7];
	109	 [kernel=gemm];
	99 -> 109	 [x=6,
		y=7];
	100 -> 101	 [x=4,
		y=4];
	100 -> 102	 [x=4,
		y=4];
	100 -> 103	 [x=4,
		y=4];
	101 -> 104	 [x=4,
		y=5];
	101 -> 106	 [x=4,
		y=5];
	101 -> 108	 [x=4,
		y=5];
	102 -> 105	 [x=4,
		y=6];
	102 -> 106	 [x=4,
		y=6];
	102 -> 109	 [x=4,
		y=6];
	103 -> 107	 [x=4,
		y=7];
	103 -> 108	 [x=4,
		y=7];
	103 -> 109	 [x=4,
		y=7];
	110	 [kernel=potrf];
	104 -> 110	 [x=5,
		y=5];
	113	 [kernel=syrk];
	105 -> 113	 [x=6,
		y=6];
	111	 [kernel=trsm];
	106 -> 111	 [x=5,
		y=6];
	114	 [kernel=syrk];
	107 -> 114	 [x=7,
		y=7];
	112	 [kernel=trsm];
	108 -> 112	 [x=5,
		y=7];
	115	 [kernel=gemm];
	109 -> 115	 [x=6,
		y=7];
	110 -> 111	 [x=5,
		y=5];
	110 -> 112	 [x=5,
		y=5];
	111 -> 113	 [x=5,
		y=6];
	111 -> 115	 [x=5,
		y=6];
	112 -> 114	 [x=5,
		y=7];
	112 -> 115	 [x=5,
		y=7];
	116	 [kernel=potrf];
	113 -> 116	 [x=6,
		y=6];
	118	 [kernel=syrk];
	114 -> 118	 [x=7,
		y=7];
	117	 [kernel=trsm];
	115 -> 117	 [x=6,
		y=7];
	116 -> 117	 [x=6,
		y=6];
	117 -> 118	 [x=6,
		y=7];
	119	 [kernel=potrf];
	118 -> 119	 [x=7,
		y=7];
}
